sentenceid,scale,codeCrowd,NcodedCrowd,NCrowd,SECrowd,goldCrowd,codeExperts,NcodedExperts,NExperts,SEExperts,codeSemiExperts,NcodedSemiExperts,NSemiExperts,SESemiExperts,manifestoid,party,year
1,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
1,Economic,-.39285713,28,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
1,Social,1.9318181,44,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
2,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
2,Economic,-.5625,16,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
2,Social,1.8518518,54,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
3,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
3,Economic,.2,5,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
3,Social,-1.9047619,63,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
4,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
4,Economic,.46666667,15,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
4,Social,-1.8421053,57,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
5,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
5,Economic,1.7727273,66,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
5,Social,-.16666667,6,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
6,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
6,Economic,-1.7962962,54,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
6,Social,.38095239,21,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
7,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
7,Economic,-1.8070176,57,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
7,Social,.21428572,14,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
8,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
8,Economic,-1.5846153,65,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
8,Social,-1,2,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
9,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
9,Economic,1.7258065,62,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
9,Social,1.3333334,6,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
10,None,,0,0,,nongold,,,,,,,,,screener,Conservatives,0
10,Economic,-1.5625,64,10,.4351286,nongold,,,,,,,,,screener,Conservatives,0
10,Social,-.5,6,10,.43995482,nongold,,,,,,,,,screener,Conservatives,0
10000001,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000011,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000011,Social,,,,,,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000021,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000021,Economic,.71428573,14,897,.022398766,nongold,.83333331,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000021,Social,0,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000031,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000031,Economic,.2682927,41,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000031,Social,-.66666669,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000041,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000041,Economic,.625,16,897,.022398766,nongold,.2,5,779,.029833695,,,,,Con 1987,Conservatives,1987
10000051,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000051,Economic,.23076923,13,897,.022398766,nongold,.16666667,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000061,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000061,Economic,-.18181819,11,897,.022398766,nongold,0,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000071,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000071,Economic,-.2857143,7,897,.022398766,nongold,-.85714287,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000071,Social,-.25,8,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000081,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000081,Economic,-.25,12,897,.022398766,nongold,.16666667,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000081,Social,1,2,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000091,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000091,Social,1.2105263,19,783,.029228823,nongold,1.3333334,6,215,.057679296,,,,,Con 1987,Conservatives,1987
10000101,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000101,Social,1,3,783,.029228823,nongold,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000111,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000111,Economic,0,1,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000111,Social,.75,4,783,.029228823,nongold,.66666669,3,215,.057679296,,,,,Con 1987,Conservatives,1987
10000121,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000121,Economic,1,3,897,.022398766,nongold,1,2,779,.029833695,,,,,Con 1987,Conservatives,1987
10000121,Social,.5,2,783,.029228823,nongold,0,2,215,.057679296,,,,,Con 1987,Conservatives,1987
