id,category,pos_human,part_id
376,Republican Party,70,354
376,Republican Party,,271
376,Republican Party,49,439
376,Republican Party,,390
376,Republican Party,42,530
376,Republican Party,,34
376,Republican Party,,521
376,Republican Party,,184
376,Republican Party,,172
376,Republican Party,,194
376,Republican Party,,535
376,Republican Party,,543
376,Republican Party,,61
376,Republican Party,,199
376,Republican Party,,306
376,Republican Party,76,432
376,Republican Party,,68
376,Republican Party,,588
376,Republican Party,,459
376,Republican Party,61,413
376,Republican Party,29,345
376,Republican Party,,10
299,Republican Party,,61
299,Republican Party,,10
299,Republican Party,24,306
299,Republican Party,92,535
299,Republican Party,92,439
299,Republican Party,69,199
299,Republican Party,44,34
299,Republican Party,12,413
299,Republican Party,96,271
299,Republican Party,85,184
299,Republican Party,97,345
299,Republican Party,72,194
299,Republican Party,84,521
299,Republican Party,79,390
299,Republican Party,0,68
299,Republican Party,86,530
299,Republican Party,90,432
299,Republican Party,61,588
299,Republican Party,33,172
299,Republican Party,100,543
299,Republican Party,72,459
299,Republican Party,38,354
674,Republican Party,41,34
674,Republican Party,,61
674,Republican Party,92,432
674,Republican Party,35,306
674,Republican Party,45,194
674,Republican Party,,543
674,Republican Party,32,354
674,Republican Party,6,68
674,Republican Party,0,345
674,Republican Party,44,439
674,Republican Party,13,172
674,Republican Party,25,530
674,Republican Party,,10
674,Republican Party,,535
674,Republican Party,71,413
674,Republican Party,12,184
674,Republican Party,30,459
674,Republican Party,45,199
674,Republican Party,,521
674,Republican Party,20,588
674,Republican Party,,271
674,Republican Party,35,390
587,Republican Party,64,306
587,Republican Party,30,354
587,Republican Party,83,61
587,Republican Party,76,543
587,Republican Party,91,271
587,Republican Party,55,530
587,Republican Party,50,199
587,Republican Party,92,432
587,Republican Party,,184
587,Republican Party,78,390
587,Republican Party,58,194
587,Republican Party,13,345
587,Republican Party,97,413
587,Republican Party,37,459
587,Republican Party,,10
587,Republican Party,59,34
587,Republican Party,48,439
587,Republican Party,86,68
587,Republican Party,,535
587,Republican Party,96,521
587,Republican Party,,172
587,Republican Party,50,588
874,Republican Party,,10
874,Republican Party,50,194
874,Republican Party,50,459
874,Republican Party,50,354
874,Republican Party,67,68
874,Republican Party,,390
874,Republican Party,,306
874,Republican Party,42,439
874,Republican Party,76,34
874,Republican Party,50,199
874,Republican Party,54,184
874,Republican Party,37,172
874,Republican Party,4,413
874,Republican Party,,61
874,Republican Party,,271
874,Republican Party,17,345
874,Republican Party,50,543
874,Republican Party,,521
874,Republican Party,82,432
874,Republican Party,50,535
874,Republican Party,36,588
874,Republican Party,66,530
730,Republican Party,,61
730,Republican Party,95,413
730,Republican Party,98,543
730,Republican Party,72,530
730,Republican Party,85,535
730,Republican Party,75,354
730,Republican Party,77,439
730,Republican Party,80,194
730,Republican Party,21,172
730,Republican Party,100,588
730,Republican Party,99,271
730,Republican Party,99,10
730,Republican Party,62,199
730,Republican Party,85,34
730,Republican Party,91,521
730,Republican Party,81,390
730,Republican Party,88,184
730,Republican Party,100,345
730,Republican Party,79,459
730,Republican Party,87,432
730,Republican Party,94,68
730,Republican Party,68,306
459,Republican Party,100,588
459,Republican Party,88,535
459,Republican Party,87,10
459,Republican Party,100,271
459,Republican Party,57,199
459,Republican Party,85,459
459,Republican Party,93,172
459,Republican Party,89,432
459,Republican Party,81,439
459,Republican Party,100,194
459,Republican Party,100,530
459,Republican Party,66,306
459,Republican Party,94,354
459,Republican Party,70,61
459,Republican Party,100,68
459,Republican Party,78,184
459,Republican Party,93,413
459,Republican Party,100,543
459,Republican Party,90,34
459,Republican Party,90,390
459,Republican Party,100,345
459,Republican Party,16,521
520,Republican Party,74,184
520,Republican Party,50,439
520,Republican Party,84,588
520,Republican Party,65,68
520,Republican Party,50,194
520,Republican Party,77,306
520,Republican Party,68,34
520,Republican Party,65,172
520,Republican Party,72,345
520,Republican Party,61,199
520,Republican Party,82,432
520,Republican Party,,61
520,Republican Party,,271
520,Republican Party,49,459
520,Republican Party,100,354
520,Republican Party,,10
520,Republican Party,73,530
520,Republican Party,71,521
520,Republican Party,61,413
520,Republican Party,67,390
520,Republican Party,86,543
520,Republican Party,51,535
721,Republican Party,100,271
721,Republican Party,89,521
721,Republican Party,,10
721,Republican Party,100,68
721,Republican Party,100,543
721,Republican Party,84,184
721,Republican Party,83,530
721,Republican Party,75,354
721,Republican Party,94,432
721,Republican Party,86,306
721,Republican Party,100,588
721,Republican Party,93,172
721,Republican Party,57,199
721,Republican Party,100,345
721,Republican Party,44,194
721,Republican Party,7,439
721,Republican Party,92,535
721,Republican Party,68,61
721,Republican Party,82,459
721,Republican Party,81,34
721,Republican Party,81,390
721,Republican Party,91,413
286,Republican Party,18,345
286,Republican Party,82,354
286,Republican Party,,10
286,Republican Party,86,432
286,Republican Party,83,61
286,Republican Party,75,194
286,Republican Party,100,530
286,Republican Party,100,34
286,Republican Party,80,588
286,Republican Party,69,535
286,Republican Party,100,459
286,Republican Party,65,306
286,Republican Party,70,68
286,Republican Party,80,439
286,Republican Party,68,413
286,Republican Party,80,390
286,Republican Party,91,271
286,Republican Party,84,521
286,Republican Party,62,199
286,Republican Party,83,184
286,Republican Party,89,172
286,Republican Party,93,543
329,Republican Party,62,306
329,Republican Party,50,543
329,Republican Party,,459
329,Republican Party,,535
329,Republican Party,47,588
329,Republican Party,46,34
329,Republican Party,43,172
329,Republican Party,,61
329,Republican Party,66,521
329,Republican Party,72,354
329,Republican Party,68,432
329,Republican Party,48,199
329,Republican Party,56,194
329,Republican Party,,390
329,Republican Party,55,413
329,Republican Party,36,271
329,Republican Party,48,439
329,Republican Party,99,345
329,Republican Party,,184
329,Republican Party,55,530
329,Republican Party,,10
329,Republican Party,53,68
729,Republican Party,51,34
729,Republican Party,47,439
729,Republican Party,0,68
729,Republican Party,62,588
729,Republican Party,37,184
729,Republican Party,63,413
729,Republican Party,66,172
729,Republican Party,42,535
729,Republican Party,31,530
729,Republican Party,,10
729,Republican Party,50,354
729,Republican Party,38,459
729,Republican Party,50,199
729,Republican Party,77,432
729,Republican Party,,61
729,Republican Party,26,543
729,Republican Party,33,306
729,Republican Party,7,271
729,Republican Party,21,345
729,Republican Party,,521
729,Republican Party,21,390
729,Republican Party,50,194
446,Republican Party,89,172
446,Republican Party,100,588
446,Republican Party,87,194
446,Republican Party,100,543
446,Republican Party,88,439
446,Republican Party,75,61
446,Republican Party,91,184
446,Republican Party,96,34
446,Republican Party,87,413
446,Republican Party,73,306
446,Republican Party,97,68
446,Republican Party,100,354
446,Republican Party,87,521
446,Republican Party,81,390
446,Republican Party,100,271
446,Republican Party,97,432
446,Republican Party,100,345
446,Republican Party,84,199
446,Republican Party,100,459
446,Republican Party,,10
446,Republican Party,99,535
446,Republican Party,100,530
417,Republican Party,57,68
417,Republican Party,80,184
417,Republican Party,,61
417,Republican Party,56,34
417,Republican Party,64,199
417,Republican Party,,10
417,Republican Party,66,172
417,Republican Party,96,345
417,Republican Party,100,271
417,Republican Party,50,354
417,Republican Party,20,194
417,Republican Party,83,535
417,Republican Party,28,306
417,Republican Party,50,413
417,Republican Party,83,530
417,Republican Party,71,459
417,Republican Party,56,439
417,Republican Party,94,521
417,Republican Party,66,543
417,Republican Party,87,390
417,Republican Party,79,588
417,Republican Party,87,432
339,Republican Party,100,535
339,Republican Party,,306
339,Republican Party,,34
339,Republican Party,50,459
339,Republican Party,97,530
339,Republican Party,,10
339,Republican Party,100,345
339,Republican Party,57,68
339,Republican Party,,61
339,Republican Party,,521
339,Republican Party,72,432
339,Republican Party,69,199
339,Republican Party,,271
339,Republican Party,100,543
339,Republican Party,50,413
339,Republican Party,93,588
339,Republican Party,53,439
339,Republican Party,,172
339,Republican Party,50,354
339,Republican Party,,390
339,Republican Party,,184
339,Republican Party,,194
868,Democratic Party,38,345
868,Democratic Party,79,390
868,Democratic Party,,184
868,Democratic Party,34,68
868,Democratic Party,,10
868,Democratic Party,79,588
868,Democratic Party,,271
868,Democratic Party,,34
868,Democratic Party,43,354
868,Democratic Party,50,199
868,Democratic Party,50,459
868,Democratic Party,,543
868,Democratic Party,50,535
868,Democratic Party,82,432
868,Democratic Party,,521
868,Democratic Party,,306
868,Democratic Party,50,530
868,Democratic Party,56,413
868,Democratic Party,53,439
868,Democratic Party,,172
868,Democratic Party,,194
868,Democratic Party,,61
388,Democratic Party,25,345
388,Democratic Party,10,413
388,Democratic Party,0,459
388,Democratic Party,5,588
388,Democratic Party,40,61
388,Democratic Party,,194
388,Democratic Party,95,432
388,Democratic Party,0,184
388,Democratic Party,12,521
388,Democratic Party,,10
388,Democratic Party,0,271
388,Democratic Party,9,543
388,Democratic Party,15,390
388,Democratic Party,16,68
388,Democratic Party,41,199
388,Democratic Party,26,535
388,Democratic Party,4,306
388,Democratic Party,11,439
388,Democratic Party,14,34
388,Democratic Party,14,354
388,Democratic Party,6,172
388,Democratic Party,0,530
151,Democratic Party,,271
151,Democratic Party,,61
151,Democratic Party,,10
151,Democratic Party,27,306
151,Democratic Party,50,530
151,Democratic Party,,184
151,Democratic Party,,459
151,Democratic Party,50,199
151,Democratic Party,50,354
151,Democratic Party,47,34
151,Democratic Party,43,413
151,Democratic Party,50,194
151,Democratic Party,74,432
151,Democratic Party,,172
151,Democratic Party,26,345
151,Democratic Party,,535
151,Democratic Party,49,439
151,Democratic Party,,588
151,Democratic Party,,521
151,Democratic Party,36,390
151,Democratic Party,50,543
151,Democratic Party,,68
710,Democratic Party,4,530
710,Democratic Party,6,413
710,Democratic Party,1,345
710,Democratic Party,7,306
710,Democratic Party,,10
710,Democratic Party,39,521
710,Democratic Party,24,390
710,Democratic Party,0,194
710,Democratic Party,11,588
710,Democratic Party,25,459
710,Democratic Party,50,199
710,Democratic Party,30,172
710,Democratic Party,34,61
710,Democratic Party,37,535
710,Democratic Party,29,34
710,Democratic Party,49,439
710,Democratic Party,50,354
710,Democratic Party,71,432
710,Democratic Party,21,184
710,Democratic Party,50,271
710,Democratic Party,47,543
710,Democratic Party,40,68
862,Democratic Party,7,34
862,Democratic Party,,10
862,Democratic Party,69,306
862,Democratic Party,45,439
862,Democratic Party,,184
862,Democratic Party,10,345
862,Democratic Party,38,172
862,Democratic Party,,199
862,Democratic Party,,271
862,Democratic Party,29,68
862,Democratic Party,0,530
862,Democratic Party,31,521
862,Democratic Party,50,459
862,Democratic Party,,61
862,Democratic Party,49,543
862,Democratic Party,52,432
862,Democratic Party,62,413
862,Democratic Party,50,354
862,Democratic Party,38,390
862,Democratic Party,50,535
862,Democratic Party,40,194
862,Democratic Party,23,588
516,Democratic Party,47,34
516,Democratic Party,93,432
516,Democratic Party,,10
516,Democratic Party,67,68
516,Democratic Party,,61
516,Democratic Party,,184
516,Democratic Party,,271
516,Democratic Party,37,172
516,Democratic Party,46,199
516,Democratic Party,,535
516,Democratic Party,39,413
516,Democratic Party,8,306
516,Democratic Party,39,521
516,Democratic Party,50,459
516,Democratic Party,75,345
516,Democratic Party,36,530
516,Democratic Party,50,354
516,Democratic Party,19,390
516,Democratic Party,50,194
516,Democratic Party,49,439
516,Democratic Party,37,588
516,Democratic Party,42,543
718,Democratic Party,,271
718,Democratic Party,,390
718,Democratic Party,,172
718,Democratic Party,,535
718,Democratic Party,,68
718,Democratic Party,50,199
718,Democratic Party,18,34
718,Democratic Party,,194
718,Democratic Party,,588
718,Democratic Party,,306
718,Democratic Party,,61
718,Democratic Party,50,345
718,Democratic Party,,184
718,Democratic Party,,413
718,Democratic Party,,10
718,Democratic Party,36,354
718,Democratic Party,95,432
718,Democratic Party,47,439
718,Democratic Party,43,530
718,Democratic Party,41,521
718,Democratic Party,50,543
718,Democratic Party,,459
5,Democratic Party,50,543
5,Democratic Party,,61
5,Democratic Party,,459
5,Democratic Party,,439
5,Democratic Party,,194
5,Democratic Party,45,199
5,Democratic Party,35,390
5,Democratic Party,10,68
5,Democratic Party,48,184
5,Democratic Party,,34
5,Democratic Party,,271
5,Democratic Party,64,354
5,Democratic Party,,172
5,Democratic Party,50,345
5,Democratic Party,38,521
5,Democratic Party,,10
5,Democratic Party,,306
5,Democratic Party,38,588
5,Democratic Party,90,432
