id,objectid,n_tokens_text,nb_text_rows,response,response_type,response_original,nb_queries,score_type,response_id,score_dist_mean,id_dist_mean,sufficient_responses
433,433,82,1,90.0,numeric,"{""Score"": 90}",1,typ1,typ1_0,,id,True
789,789,98,1,10.0,numeric,"{""Score"": 10}",1,typ1,typ1_1,,id,True
687,687,52,1,85.0,numeric,"{""Score"": 85}",1,typ1,typ1_2,,id,True
24,24,81,1,95.0,numeric,"{""Score"": 95}",1,typ1,typ1_3,,id,True
482,482,47,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_4,,id,True
259,259,63,1,85.0,numeric,"{""Score"": 85}",1,typ1,typ1_5,,id,True
44,44,22,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_6,,id,True
637,637,77,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_7,,id,True
598,598,61,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_8,,id,True
454,454,62,1,90.0,numeric,"{""Score"": 90}",1,typ1,typ1_9,,id,True
493,493,54,1,85.0,numeric,"{""Score"": 85}",1,typ1,typ1_10,,id,True
178,178,23,1,90.0,numeric,"{""Score"": 90}",1,typ1,typ1_11,,id,True
553,553,93,1,70.0,numeric,"{""Score"": 70}",1,typ1,typ1_12,,id,True
374,374,65,1,0.0,numeric,"{""Score"": 0}",1,typ1,typ1_13,,id,True
796,796,56,1,20.0,numeric,"{""Score"": 20}",1,typ1,typ1_14,,id,True
330,330,49,1,10.0,numeric,"{""Score"": 10}",1,typ1,typ1_15,,id,True
634,634,64,1,95.0,numeric,"{""Score"": 95}",1,typ1,typ1_16,,id,True
883,883,47,1,20.0,numeric,"{""Score"": 20}",1,typ1,typ1_17,,id,True
644,644,30,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_18,,id,True
768,768,33,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_19,,id,True
726,726,75,1,80.0,numeric,"{""Score"": 80}",1,typ1,typ1_20,,id,True
391,391,55,1,95.0,numeric,"{""Score"": 95}",1,typ1,typ1_21,,id,True
786,786,9,1,80.0,numeric,"{""Score"": 80}",1,typ1,typ1_22,,id,True
124,124,49,1,20.0,numeric,"{""Score"": 20}",1,typ1,typ1_23,,id,True
198,198,65,1,0.0,numeric,"{""Score"": 0}",1,typ1,typ1_24,,id,True
40,40,40,1,90.0,numeric,"{""Score"": 90}",1,typ1,typ1_25,,id,True
494,494,62,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_26,,id,True
191,191,96,1,80.0,numeric,"{""Score"": 80}",1,typ1,typ1_27,,id,True
829,829,72,1,85.0,numeric,"{""Score"": 85}",1,typ1,typ1_28,,id,True
244,244,68,1,20.0,numeric,"{""Score"": 20}",1,typ1,typ1_29,,id,True
784,784,47,1,40.0,numeric,"{""Score"": 40}",1,typ1,typ1_30,,id,True
822,822,44,1,85.0,numeric,"{""Score"": 85}",1,typ1,typ1_31,,id,True
602,602,27,1,80.0,numeric,"{""Score"": 80}",1,typ1,typ1_32,,id,True
143,143,66,1,70.0,numeric,"{""Score"": 70}",1,typ1,typ1_33,,id,True
422,422,53,1,90.0,numeric,"{""Score"": 90}",1,typ1,typ1_34,,id,True
134,134,73,1,75.0,numeric,"{""Score"": 75}",1,typ1,typ1_35,,id,True
107,107,44,1,50.0,numeric,"{""Score"": 50}",1,typ1,typ1_36,,id,True
149,149,75,1,90.0,numeric,"{""Score"": 90}",1,typ1,typ1_37,,id,True
106,106,64,1,95.0,numeric,"{""Score"": 95}",1,typ1,typ1_38,,id,True
205,205,62,1,85.0,numeric,"{""Score"": 85}",1,typ1,typ1_39,,id,True
